"","Season","School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"97",2003,"Clemson","ACC","15","13","68.4","68.1","0.32","5.35","0.87","4.80","5.67"
"98",2003,"Charlotte","CUSA (American)","13","16","68.4","69.9","-1.45","6.94","2.42","3.08","5.50"
"99",2003,"San Diego","WCC","18","12","75.5","71.4","4.07","2.74","5.27","0.19","5.46"
"100",2003,"Colorado State","MWC","19","14","74.2","71.6","2.64","4.41","6.15","-0.77","5.38"
"101",2003,"Fresno State","WAC","20","8","71.6","66.8","4.86","0.44","2.11","3.18","5.29"
"102",2003,"Holy Cross","Patriot","26","5","70.3","58.7","11.58","-5.38","-1.53","6.79","5.26"
"103",2003,"San Diego State","MWC","16","14","71.5","69.6","1.93","4.14","3.91","1.20","5.11"
"104",2003,"Rutgers","Big East (West)","12","16","67.6","69.0","-1.36","6.45","1.26","3.83","5.09"
"105",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"106",2003,"Kent State","MAC (East)","21","10","76.8","70.7","6.06","0.56","5.86","-0.83","5.03"
"107",2003,"New Mexico State","Sun Belt (West)","20","9","73.7","67.4","6.21","-0.92","3.05","1.64","4.69"
"108",2003,"Arkansas","SEC (West)","9","19","61.6","66.5","-4.89","9.57","-3.09","7.76","4.67"
"109",2003,"Washington","Pac-10","10","17","72.4","75.0","-2.63","7.28","5.00","-0.35","4.65"
"110",2003,"Weber State","Big Sky","26","6","74.5","67.6","6.91","-2.01","4.49","0.07","4.56"
"111",2003,"Hawaii","WAC","19","12","70.3","67.4","2.97","1.56","0.35","4.18","4.53"
"112",2003,"South Florida","CUSA (National)","15","14","69.0","68.0","1.03","4.52","0.12","4.09","4.20"
"113",2003,"Utah State","Big West","24","9","66.6","60.0","6.61","-1.43","-3.34","7.49","4.16"
"114",2003,"West Virginia","Big East (West)","14","15","66.8","69.6","-2.76","6.84","0.08","4.00","4.08"
"115",2003,"Oregon State","Pac-10","13","15","68.0","68.4","-0.39","5.86","-0.64","4.50","3.86"
"116",2003,"Valparaiso","Mid-Cont","20","11","70.8","65.8","4.97","-1.13","-0.22","4.05","3.84"
"117",2003,"Rhode Island","A-10 (East)","19","12","69.8","69.6","0.16","3.35","1.60","1.91","3.51"
"118",2003,"Nebraska","Big 12","11","19","63.3","68.5","-5.13","9.21","-2.60","6.06","3.46"
"119",2003,"Rice","WAC","19","10","74.4","69.6","4.83","0.89","4.65","-1.35","3.29"
"120",2003,"UC-Santa Barbara","Big West","18","14","64.6","60.3","4.22","-1.12","-5.01","8.11","3.10"
"121",2003,"Troy","A-Sun (South)","26","6","79.9","70.7","9.19","-4.80","5.67","-2.82","2.86"
"122",2003,"George Washington","A-10 (West)","12","17","71.4","71.9","-0.52","3.34","4.48","-1.66","2.82"
"123",2003,"Virginia Commonwealth","CAA","18","10","74.0","68.0","6.07","-3.29","4.11","-1.33","2.78"
"124",2003,"Siena","MAAC","21","11","74.8","70.4","4.47","-1.79","3.50","-0.82","2.68"
"125",2003,"Eastern Washington","Big Sky","18","13","70.6","66.9","3.74","-0.80","0.65","1.88","2.53"
"126",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"127",2003,"Murray State","OVC","17","12","75.7","69.0","6.62","-2.80","1.63","0.86","2.49"
"128",2003,"Wichita State","MVC","18","12","71.9","70.5","1.40","0.99","3.79","-1.40","2.39"
"129",2003,"Northwestern","Big Ten","12","17","62.6","65.7","-3.07","5.43","-4.02","6.39","2.36"
"130",2003,"Virginia Tech","Big East (East)","11","18","70.2","73.2","-3.03","5.33","2.60","-0.30","2.30"
"131",2003,"George Mason","CAA","16","12","64.1","60.5","3.57","-1.30","-5.08","7.35","2.27"
"132",2003,"San Francisco","WCC","15","14","69.6","68.5","1.10","1.43","0.08","1.99","2.07"
"133",2003,"UC-Irvine","Big West","20","9","70.0","64.0","5.93","-1.65","0.28","1.78","2.07"
"134",2003,"Saint Mary's (CA)","WCC","15","15","66.7","64.1","2.57","0.84","-3.79","5.73","1.94"
"135",2003,"Miami (OH)","MAC (East)","13","15","58.6","58.7","-0.07","2.87","-11.77","13.60","1.83"
"136",2003,"Toledo","MAC (West)","13","16","70.1","70.4","-0.31","2.13","0.73","1.08","1.82"
"137",2003,"East Carolina","CUSA (American)","12","15","65.2","65.1","0.11","4.73","-3.15","4.96","1.81"
